,entity_index,entity_name,cui,cui_name
118,118,AQP1,C0109329,Aquaporin 1
119,119,ETS1,C0107719,"ETS1 protein, human"
120,120,TERF1,C1336604,TERF1 gene
121,121,EXOSC2,C1424742,EXOSC2 gene
122,122,CHRD,C1413399,CHRD gene
123,123,STK4,C1325182,[tyrosine 3-monooxygenase] kinase activity
124,124,ERGIC3,C1334919,"SDBCAG84 protein, human"
125,125,EGFR,C0034802,Epidermal Growth Factor Receptor
126,126,H1,C1332766,CLIC4 gene
127,127,IRF4,C0299544,Interferon Regulatory Factor 4
128,128,TMEM52B,C1824379,TMEM52B gene
129,129,H2AC4,C5202973,H2AC4 Gene
130,130,GATA1,C1333663,GATA1 gene
131,131,CEBPE,C1332750,CEBPE gene
132,132,LCE1B,C1537531,LCE1B gene
133,133,CSNK2B,C1413762,CSNK2B gene
134,134,SPEN,C1310944,"SPEN protein, human"
135,135,PPP1CA,C1335240,PPP1CA gene
136,136,USP4,C1421405,USP4 gene
137,137,GPR137B,C1825404,GPR137B gene
138,138,HSPA1A,C1415755,HSPA1A gene
139,139,PCNA,C0072108,Proliferating Cell Nuclear Antigen
140,140,SUMO2,C1420264,SUMO2 gene
141,141,MED16,C1424995,MED16 gene
142,142,YTHDF1,C1538132,YTHDF1 gene
143,143,PRKAR1A,C1418907,PRKAR1A gene
144,144,SMAD3,C0529119,"SMAD3 protein, human"
145,145,PLSCR1,C1418659,PLSCR1 gene
146,146,MEOX1,C1417111,MEOX1 gene
147,147,EFNA5,C0380301,Ephrin-A5
148,148,PLP2,C1418655,PLP2 gene
149,149,AK4,C1424944,AK4 gene
150,150,FGFR3,C0527057,"FGFR3 protein, human"
151,151,CCN2,C1137457,"CTGF protein, human"
152,152,GRB2,C1333707,GRB2 gene
153,153,E2F4,C1414227,E2F4 gene
154,154,FMR1,C1414649,FMR1 gene
155,155,CHD3,C1413382,CHD3 gene
156,156,ADD2,C1412231,ADD2 gene
157,157,NEDD8,C1417663,NEDD8 gene
158,158,RNF181,C2239895,RNF181 gene
159,159,HNRNPUL1,C1424684,HNRNPUL1 gene
160,160,SYNCRIP,C1424633,SYNCRIP gene
161,161,XPO1,C0655775,"XPO1 protein, human"
162,162,SLC26A2,C1420162,SLC26A2 gene
163,163,LMNA,C1416877,LMNA gene
164,164,UBE2I,C0534043,"UBE2I protein, human"
165,165,PCDH20,C1422518,PCDH20 gene
166,166,TIAL1,C1420731,TIAL1 gene
167,167,CD82,C0286983,Lymphocyte antigen CD82
168,168,E2F3,C1414224,E2F3 gene
169,169,PAX6,C1418276,PAX6 gene
170,170,COL8A1,C1413593,COL8A1 gene
171,171,CAPZA2,C1413123,CAPZA2 gene
172,172,NPPB,C0049330,5-nitro-2-(3-phenylpropylamino)benzoic acid
173,173,RAB11A,C1419189,RAB11A gene
174,174,SPI1,C0919490,SPI1 gene
175,175,PSMD2,C1419032,PSMD2 gene
176,176,PPARD,C1418778,PPARD gene
177,177,PTEN,C0694888,PTEN gene
178,178,EP300,C1333336,EP300 gene
179,179,IL10RB,C0217502,"IL10RB protein, human"
180,180,CORO1B,C1413623,CORO1B gene
181,181,PABPC3,C1418229,PABPC3 gene
182,182,MS4A3,C1417328,MS4A3 gene
183,183,NFE2,C1417699,NFE2 gene
184,184,STAT2,C1335873,STAT2 gene
185,185,CSTF1,C1413779,CSTF1 gene
186,186,KRT18,C1416731,KRT18 gene
187,187,CASP10,C1332661,CASP10 gene
188,188,FTH1,C1414833,FTH1 gene
189,189,UBC,C1421267,UBC gene
190,190,CRCT1,C1824788,CRCT1 gene
191,191,DVL2,C1414201,DVL2 gene
192,192,GNA12,C1333684,GNA12 gene
193,193,ISLR,C1308272,"ISLR protein, human"
194,194,PRKCB,C1418913,PRKCB gene
195,195,TNPO1,C1416706,TNPO1 gene
196,196,DUSP7,C1414188,DUSP7 gene
197,197,MAPK14,C0257535,Mitogen-Activated Protein Kinase 14
198,198,SERPINI2,C0675998,"SERPINI2 protein, human"
199,199,POLB,C1335230,POLB gene
200,200,CREB3,C1413703,CREB3 gene
201,201,CYP1A1,C0059735,Cytochrome P-450 CYP1A1
202,202,COPS5,C1413614,COPS5 gene
203,203,CLEC5A,C1539100,CLEC5A gene
204,204,CEBPG,C1413325,CEBPG gene
205,205,ZNF76,C1421833,ZNF76 gene
206,206,HNRNPR,C1415648,HNRNPR gene
207,207,MAX,C0806909,Maximum
208,208,GRB7,C0173263,"GRB7 protein, human"
209,209,MYH9,C1417544,MYH9 gene
210,210,NDUFA8,C1417629,NDUFA8 gene
211,211,NPPA,C0068273,N-propionylprocainamide
212,212,SLC35A1,C1420187,SLC35A1 gene
213,213,INS,C1337112,INS gene
214,214,SHC1,C1312062,"SHC1 protein, human"
215,215,DNAJC7,C1421213,DNAJC7 gene
216,216,NCSTN,C1538050,NCSTN gene
217,217,ZNF433,C1427141,ZNF433 gene
218,218,SF3A2,C1419978,SF3A2 gene
219,219,ID2,C0123156,"ID2 protein, human"
220,220,NUDT6,C1417884,NUDT6 gene
221,221,ATXN7L2,C1538305,ATXN7L2 gene
222,222,IMPDH2,C1416428,IMPDH2 gene
223,223,MAGEA1,C1416970,MAGEA1 gene
224,224,SMCO4,C1824341,SMCO4 gene
225,225,DGKZ,C1414037,DGKZ gene
226,226,U2AF1,C1421254,U2AF1 gene
227,227,IL1R1,C1416395,IL1R1 gene
228,228,EPHA1,C0812262,EPHA1 gene
229,229,FXR1,C1414872,FXR1 gene
230,230,PMPCB,C1418678,PMPCB gene
231,231,RPL8,C1335640,RPL8 gene
232,232,TRIM37,C1122524,"TRIM37 protein, human"
233,233,UACA,C1423851,UACA gene
234,234,SNRPF,C1420293,SNRPF gene
235,235,ARRB2,C1412552,ARRB2 gene
236,236,CDKN2A,C0525037,CDKN2A gene
237,237,POLE2,C1418730,POLE2 gene
238,238,ACTB,C1384510,ACTB gene
239,239,ZNF414,C1823974,ZNF414 gene
240,240,ACP2,C1412132,ACP2 gene
241,241,H4C11,C1415445,H4C11 gene
242,242,AKAP9,C0768673,"AKAP9 protein, human"
243,243,PDE6A,C1418425,PDE6A gene
244,244,HSP90AB1,C1825540,HSP90AB1 gene
245,245,KLC2,C1825716,KLC2 gene
246,246,ATP6V1B2,C1412674,ATP6V1B2 gene
247,247,FBXO34,C1426770,FBXO34 gene
248,248,JUND,C0812312,JUND gene
249,249,GRN,C0574239,Guarani language
250,250,PLXNB1,C1418664,PLXNB1 gene
251,251,CCNA2,C1332694,CCNA2 gene
252,252,DHX57,C1426672,DHX57 gene
253,253,APBB2,C1412460,APBB2 gene
254,254,ITPRIP,C1428845,ITPRIP gene
255,255,KPNB1,C1416705,KPNB1 gene
256,256,SNRPB,C1420285,SNRPB gene
257,257,TMEM179B,C2240089,TMEM179B gene
258,258,DCAF1,C1823635,DCAF1 gene
259,259,ORMDL2,C1423929,ORMDL2 gene
260,260,DIS3,C1824940,DIS3 gene
261,261,EAPP,C1426158,EAPP gene
262,262,UPF1,C1823600,UPF1 gene
263,263,TRAF4,C0383122,TNF receptor-associated factor 4
264,264,PLK1,C1335227,PLK1 gene
265,265,KRTAP1,,
266,266,EIF3B,C1414346,EIF3B gene
267,267,HPCAL1,C1415694,HPCAL1 gene
268,268,PPP2CB,C1335242,PPP2CB gene
269,269,CCNT1,C1413185,CCNT1 gene
270,270,ZBTB33,C1538153,ZBTB33 gene
271,271,ERRFI1,C1825064,ERRFI1 gene
272,272,SEC24C,C1419929,SEC24C gene
273,273,PIR,C1538650,PIR gene
274,274,SUPT3H,C0812266,SUPT3H gene
275,275,ADAMTSL5,C1826408,ADAMTSL5 gene
276,276,LAMA3,C1416777,LAMA3 gene
277,277,COG6,C1425653,COG6 gene
278,278,STOM,C1414428,STOM gene
279,279,HNF4A,C1415629,HNF4A gene
280,280,UBE4B,C1421297,UBE4B gene
281,281,MTNR1A,C1417449,MTNR1A gene
282,282,LGALS3,C0245382,Galectin 3
283,283,TSTD2,C1428932,TSTD2 gene
284,284,SH3GLB1,C1420028,SH3GLB1 gene
285,285,ELAVL1,C1414371,ELAVL1 gene
286,286,NR4A2,C1417836,NR4A2 gene
287,287,PBX1,C0220528,"pbx1 protein, human"
288,288,EPB41L1,C0907929,neuronal membrane cytoskeletal protein 4.1
289,289,CLNS1A,C1413501,CLNS1A gene
290,290,ROCK1,C1335631,ROCK1 gene
291,291,PTPN11,C1335280,PTPN11 gene
292,292,S100A8,C1366582,S100A8 gene
293,293,BRAP,C1412819,BRAP gene
294,294,RIPK1,C0297981,"RIPK1 protein, human"
295,295,TWNK,C1418458,TWNK gene
296,296,DVL3,C1414202,DVL3 gene
297,297,USP9X,C1421409,USP9X gene
298,298,SMO,C0574401,Samoan language
299,299,SQLE,C1420392,SQLE gene
300,300,PIP4K2A,C1335219,PIP4K2A gene
301,301,CSNK2A1,C1332796,CSNK2A1 gene
302,302,DYNC1LI2,C1825009,DYNC1LI2 gene
303,303,GSN,C1415323,GSN gene
304,304,PPP1R12A,C1417581,PPP1R12A gene
305,305,ZNF629,C1538208,ZNF629 gene
306,306,TMOD2,C1420780,TMOD2 gene
307,307,HBM,C1416917,LRP5 gene
308,308,CUL2,C1332810,CUL2 gene
309,309,PAX5,C0167636,paired box 5 protein (B-cell lineage specific activator)
310,310,CCT2,C1413194,CCT2 gene
311,311,PCP4,C1418387,PCP4 gene
312,312,GBP2,C1415004,GBP2 gene
313,313,YWHAG,C1421561,YWHAG gene
314,314,BARD1,C1332381,BARD1 gene
315,315,DYRK1A,C1414204,DYRK1A gene
316,316,CALCOCO2,C1824521,CALCOCO2 gene
317,317,CUL1,C0755299,"CUL1 protein, human"
318,318,UTP11,C1823609,UTP11 gene
319,319,PRPF8,C1424915,PRPF8 gene
320,320,DHRS2,C1425464,DHRS2 gene
321,321,OXT,C1418208,OXT gene
322,322,ESRRA,C1414463,ESRRA gene
323,323,RFX3,C1419361,RFX3 gene
324,324,GTSE1,C1422149,GTSE1 gene
325,325,GTF3C1,C0122669,"GTF3C1 protein, human"
326,326,JUN,C0162508,JUN gene
327,327,RPS2,C1419718,RPS2 gene
328,328,KANK2,C1428829,KANK2 gene
329,329,H2AC20,C5203143,Histone H2A Type 2-C
330,330,ZXDC,C1824086,ZXDC gene
331,331,TMOD1,C1420779,TMOD1 gene
332,332,CDK4,C0246957,Cyclin-Dependent Kinase 4
333,333,MTX1,C1417487,MTX1 gene
334,334,NMI,C1334885,NMI gene
335,335,POLR3D,C1412808,POLR3D gene
336,336,CDC25B,C1413258,CDC25B gene
337,337,BTK,C1412841,BTK gene
338,338,H2AC15,C5203005,H2AC15 Gene
339,339,FANCA,C0531299,"FANCA protein, human"
340,340,BEX2,C1429014,BEX2 gene
341,341,BCHE,C1412756,BCHE gene
342,342,APEX2,C1425157,APEX2 gene
343,343,ZNF574,C1428556,ZNF574 gene
344,344,LBR,C1416802,LBR gene
345,345,UBE2M,C1421289,UBE2M gene
346,346,IWS1,,
347,347,BDH2,C1826419,BDH2 gene
348,348,ZNF319,C1422128,ZNF319 gene
349,349,RPL15,C1419632,RPL15 gene
350,350,CEBPB,C1413323,CEBPB gene
351,351,DLX1,C1414075,DLX1 gene
352,352,HNRNPA1,C1415634,HNRNPA1 gene
353,353,KRTAP4,,
354,354,HLA-F,C1415586,HLA-F gene
355,355,CELSR2,C1414309,CELSR2 gene
356,356,NAB2,C0390081,"NAB2 protein, human"
357,357,ARRB1,C1332117,ARRB1 gene
358,358,MDFI,C1417085,MDFI gene
359,359,PHF23,C1826581,PHF23 gene
360,360,FAM50B,C1539455,FAM50B gene
361,361,SOD1,C0010461,Cu-Zn Superoxide Dismutase
362,362,WAS,C0043194,Wiskott-Aldrich Syndrome
363,363,AR,C0003790,Arkansas
364,364,EPS15,C1333343,EPS15 gene
365,365,HSH2D,C1428427,HSH2D gene
366,366,LCE2B,C1537537,LCE2B gene
367,367,AIMP2,C1833235,AIMP2 gene
368,368,HTRA1,C1258300,"HtrA1 protein, human"
369,369,AKAP8L,C1428900,AKAP8L gene
370,370,HOXC4,C1415678,HOXC4 gene
371,371,SIN3A,C1426185,SIN3A gene
372,372,POP4,C1428930,POP4 gene
373,373,NOS2,C0669372,"NOS2A protein, human"
374,374,PKN2,C1538660,PKN2 gene
375,375,ESR1,C1414461,ESR1 gene
376,376,UHRF1,C1421348,UHRF1 gene
377,377,MEOX2,C1417112,MEOX2 gene
378,378,EPS8,C1333350,EPS8 gene
379,379,GAK,C1414944,GAK gene
380,380,LZTS2,C1428848,LZTS2 gene
381,381,IL17A,C1701790,"IL17A protein, human"
382,382,TPRX1,C1823470,TPRX1 gene
383,383,RPL10,C1335635,RPL10 gene
384,384,SRSF8,C1822698,SRSF8 gene
385,385,PDHA2,C1418438,PDHA2 gene
386,386,LCE1A,C1537530,LCE1A gene
387,387,ACTA1,C1412136,ACTA1 gene
388,388,BLK,C1332419,BLK gene
389,389,CREB1,C1413702,CREB1 gene
390,390,ALK,C1332080,ALK gene
391,391,BCKDHA,C1412759,BCKDHA gene
392,392,MTMR4,C1417438,MTMR4 gene
393,393,EPB42,C1414426,EPB42 gene
394,394,LECT2,C1416824,LECT2 gene
395,395,ATR,C1332120,ATR gene
396,396,SLC4A8,C1420198,SLC4A8 gene
397,397,AMFR,C1332083,AMFR gene
398,398,VCP,C0056633,cyclophosphamide/prednisone/vincristine protocol
399,399,SP2,C0450545,Spleen acupuncture point SP2
400,400,MCL1,C0215343,"MCL1 protein, human"
401,401,GUCD1,C1422499,GUCD1 gene
402,402,DDR1,C0294276,"DDR1 protein, human"
403,403,NBEAL1,C1538044,NBEAL1 gene
404,404,TSPAN15,C1540095,TSPAN15 gene
405,405,FGB,C1414593,FGB gene
406,406,CCNE1,C1259807,"CCNE1 protein, human"
407,407,MATR3,C1417046,MATR3 gene
408,408,TTF1,C1384616,NKX2-1 gene
409,409,CALML3,C1413095,CALML3 gene
410,410,BBS2,C1412747,BBS2 gene
411,411,THAP12,C1418933,THAP12 gene
412,412,SCN2B,C1419860,SCN2B gene
413,413,PCBD1,C1418296,PCBD1 gene
414,414,PXN,C1419150,PXN gene
415,415,RBL1,C0134874,"RBL1 protein, human"
416,416,TMBIM6,C1420686,TMBIM6 gene
417,417,VCAM1,C1421435,VCAM1 gene
418,418,MAPK1,C1366882,MAPK1 gene
419,419,USHBP1,C1428342,USHBP1 gene
420,420,MECOM,C0812271,MECOM gene
421,421,SREBF1,C1420398,SREBF1 gene
422,422,YWHAB,C1421558,YWHAB gene
423,423,COX4I1,C1413634,COX4I1 gene
424,424,CDCA8,C1422801,CDCA8 gene
425,425,BIK,C0574366,Bikol language
426,426,MSH2,C0879290,MSH2 gene
427,427,FHL3,C1414613,FHL3 gene
428,428,EED,C1414269,EED gene
429,429,TRAF6,C0530129,TNF receptor-associated factor 6
430,430,RAP2A,C1419269,RAP2A gene
431,431,RAC1,C1419227,RAC1 gene
432,432,PDLIM7,C1427812,PDLIM7 gene
433,433,PRDM14,C1422338,PRDM14 gene
434,434,BTG3,C1412840,BTG3 gene
435,435,MFAP1,C1417126,MFAP1 gene
436,436,B4GALT4,C1412722,B4GALT4 gene
437,437,SORD,C1420311,SORD gene
438,438,UBB,C1313661,"UBB protein, human"
439,439,CNP,C1413553,CNP gene
440,440,CD79A,C0286618,CD79a antigen
441,441,FGFR4,C1333544,FGFR4 gene
442,442,PRR20A,C2678584,PRR20A gene
443,443,E2F6,C1414229,E2F6 gene
444,444,FAM107A,C1842306,FAM107A gene
445,445,HSF2,C1415750,HSF2 gene
446,446,NACA,C1166931,nascent polypeptide-associated complex location
447,447,GLP1R,C1415105,GLP1R gene
448,448,TBX1,C1420603,TBX1 gene
449,449,ZEB1,C1420645,ZEB1 gene
450,450,PLPP1,C1335236,PLPP1 gene
451,451,GIT2,C1333677,GIT2 gene
452,452,COMT,C0007407,Catechol O-Methyltransferase
453,453,HNRNPD,C1415638,HNRNPD gene
454,454,GATA2,C1414993,GATA2 gene
455,455,CHRM3,C1332759,CHRM3 gene
456,456,ESRRB,C1414465,ESRRB gene
457,457,CNR2,C1413555,CNR2 gene
458,458,RHEB,C1419383,RHEBP1 gene
459,459,TPR,C1098484,"TPR protein, human"
460,460,SOX2,C1420322,SOX2 gene
461,461,KPNA2,C1416700,KPNA2 gene
462,462,SPRED1,C1426807,SPRED1 gene
463,463,PGRMC2,C1423970,PGRMC2 gene
464,464,EIF4A3,C1825045,EIF4A3 gene
465,465,PLEKHG4,C1538675,PLEKHG4 gene
466,466,SRSF5,C1419996,SRSF5 gene
467,467,GTF2B,C1333718,GTF2B gene
468,468,PIH1D2,C2239818,PIH1D2 gene
469,469,MAGOHB,C2239665,MAGOHB gene
470,470,TCF4,C1336781,"TCF7L2 protein, human"
471,471,NTM,C1265234,Nontuberculous Mycobacteria
472,472,MRPL19,C1422376,MRPL19 gene
473,473,TRIM23,C1540057,TRIM23 gene
474,474,RSRC1,C1539709,RSRC1 gene
475,475,SRI,C1420401,SRI gene
476,476,F13A1,C1414500,F13A1 gene
477,477,IL2RG,C1334116,IL2RG gene
478,478,H1,C1332766,CLIC4 gene
479,479,ICE1,C3892016,ICE1 gene
480,480,SNX1,C1420300,SNX1 gene
481,481,RPGRIP1,C1421991,RPGRIP1 gene
482,482,TAX1BP1,C1420591,TAX1BP1 gene
483,483,MRPL50,C1424469,MRPL50 gene
484,484,PTK2,C1366894,PTK2 gene
485,485,LRPAP1,C1416920,LRPAP1 gene
486,486,OXA1L,C1418206,OXA1L gene
487,487,CLDN19,C1413468,CLDN19 gene
488,488,ATG9A,C1825499,ATG9A gene
489,489,CAV1,C1332669,CAV1 gene
490,490,PDGFRB,C0290068,Platelet-Derived Growth Factor beta Receptor
491,491,NXF1,C1417898,NXF1 gene
492,492,SMARCA4,C0248587,"SMARCA4 protein, human"
493,493,GSC2,C1415317,GSC2 gene
494,494,FARSA,C1414534,FARSA gene
495,495,H2BC14,C5202742,Histone H2B Type 1-M
496,496,ACADVL,C1412110,ACADVL gene
497,497,HIF1A,C1333897,HIF1A gene
498,498,TOM1,C1420854,TOM1 gene
499,499,IRAK2,C1334135,IRAK2 gene
500,500,NR1H2,C1417823,NR1H2 gene
501,501,NPHP3,C1417783,NPHP3 gene
502,502,NCOA1,C1334866,NCOA1 gene
503,503,YBX1,C1823882,YBX1 gene
504,504,FH,C0241889,Family history (finding)
505,505,GLI1,C0812304,GLI1 gene
506,506,ILF3,C1416420,ILF3 gene
507,507,FOSL2,C0812302,FOSL2 gene
508,508,SERTAD1,C1425186,SERTAD1 gene
509,509,NR3C1,C1334899,NR3C1 gene
510,510,DNAJB2,C1415753,DNAJB2 gene
511,511,PDE4DIP,C1310095,"PDE4DIP protein, human"
512,512,NAP1L1,C1417595,NAP1L1 gene
513,513,ANKRD26,C1428810,ANKRD26 gene
514,514,GOLGB1,C1415178,GOLGB1 gene
515,515,BCL3,C0812238,BCL3 gene
516,516,CTTN,C0812261,CTTN gene
517,517,TMEM38A,C1540008,TMEM38A gene
518,518,CSNK1E,C1413756,CSNK1E gene
519,519,HSPA9,C1825549,HSPA9 gene
520,520,HNRNPC,C1415637,HNRNPC gene
521,521,RDH14,C1426579,RDH14 gene
522,522,ACD,C0002873,Anemia of chronic disease
523,523,TMCC2,C1539981,TMCC2 gene
524,524,RPS3A,C1419733,RPS3A gene
525,525,EHHADH,C1414322,EHHADH gene
526,526,GABRG2,C1414920,GABRG2 gene
527,527,GAPDH,C1414968,GAPDH gene
528,528,HOXB5,C1415668,HOXB5 gene
529,529,PSMC5,C1419025,PSMC5 gene
530,530,CDK1,C1332721,CDK1 gene
531,531,YY1,C1421565,YY1 gene
532,532,OPRM1,C1417965,OPRM1 gene
533,533,MTIF2,C1417427,MTIF2 gene
534,534,NUTF2,C1422162,NUTF2 gene
535,535,DKC1,C1414056,DKC1 gene
536,536,BCL2L2,C1332395,BCL2-Related 2 Protein
537,537,SAP30BP,C1826974,SAP30BP gene
538,538,PLAUR,C1367689,PLAUR gene
539,539,LYPD3,C1175291,"LYPD3 protein, human"
540,540,UNC119,C1421355,UNC119 gene
541,541,MCM6,C1333240,"MCM6 protein, human"
542,542,SRSF7,C1419998,SRSF7 gene
543,543,MAP3K7,C1334477,MAP3K7 gene
544,544,FOXH1,C1414681,FOXH1 gene
545,545,SVIL,C1420533,SVIL gene
546,546,DYNC1H1,C1825005,DYNC1H1 gene
547,547,NINJ2,C1417729,NINJ2 gene
548,548,SERPINB4,C1419845,SERPINB4 gene
549,549,ACTN4,C1308458,"ACTN4 protein, human"
550,550,PNRC1,C1424869,PNRC1 gene
551,551,RCL1,C1425036,RCL1 gene
552,552,PDK3,C1418442,PDK3 gene
553,553,NEK2,C1417672,NEK2 gene
554,554,BRCA1,C0376571,BRCA1 gene
555,555,RHOC,C0812236,RHOC gene
556,556,TACC3,C1336558,TACC3 gene
557,557,DDIT4,C1428430,DDIT4 gene
558,558,NME4,C1417743,NME4 gene
559,559,PPP1R12C,C1423078,PPP1R12C gene
560,560,PLP1,C1418654,PLP1 gene
561,561,RASD1,C1335596,RASD1 gene
562,562,AATK,C1412055,AATK gene
563,563,ZMAT4,C1538177,ZMAT4 gene
564,564,KDM1B,C1427624,KDM1B gene
565,565,PFDN5,C1418486,PFDN5 gene
566,566,PRKCA,C1335261,PRKCA gene
567,567,UBE2L3,C0753687,"UBE2L3 protein, human"
568,568,PARP1,C1538577,PARP1 gene
569,569,BHLHE40,C1412793,BHLHE40 gene
570,570,KLC1,C1416692,KLC1 gene
571,571,CCDC85B,C1824611,CCDC85B gene
572,572,KPNA1,C1416699,KPNA1 gene
573,573,NFKBIB,C1417709,NFKBIB gene
574,574,CASR,C1413136,CASR gene
575,575,PBX2,C1418286,PBX2 gene
576,576,PRDM5,C1418876,PRDM5 gene
577,577,RB1,C0035335,Retinoblastoma
578,578,SGK1,C1420010,SGK1 gene
579,579,BMI1,C0106701,"BMI1 protein, human"
580,580,RAN,C1419257,RAN gene
581,581,AKAP5,C1412317,AKAP5 gene
582,582,POGZ,C1425785,POGZ gene
583,583,H2BC5,,
584,584,LCE2A,C1537536,LCE2A gene
585,585,EBF1,C1825022,EBF1 gene
586,586,STX12,C1420495,STX12 gene
587,587,HDAC2,C1333892,HDAC2 gene
588,588,ZNF707,C1824011,ZNF707 gene
